,lsvm,rbfsvm,MLP
0,0.73,0.63,0.63
1,0.7299999999999999,0.63,0.65
2,0.7299999999999999,0.6299999999999999,0.6533333333333332
3,0.7299999999999999,0.6299999999999999,0.6625
4,0.7299999999999999,0.6299999999999999,0.664
5,0.73,0.6299999999999999,0.655
6,0.7300000000000001,0.6299999999999999,0.6528571428571428
7,0.7300000000000001,0.6299999999999999,0.6562499999999999
8,0.7300000000000001,0.6299999999999999,0.6544444444444443
9,0.7300000000000002,0.6299999999999999,0.6549999999999999
10,0.7300000000000001,0.6299999999999999,0.6572727272727272
11,0.7300000000000001,0.6299999999999999,0.6575
12,0.7300000000000002,0.63,0.66
13,0.7300000000000002,0.63,0.6621428571428571
14,0.7300000000000002,0.6300000000000001,0.6613333333333333
15,0.7300000000000002,0.6300000000000001,0.66375
16,0.7300000000000002,0.6300000000000001,0.6647058823529411
17,0.7300000000000002,0.6300000000000002,0.6638888888888889
18,0.7300000000000002,0.6300000000000002,0.6631578947368421
19,0.7300000000000002,0.6300000000000002,0.6639999999999999
20,0.7300000000000002,0.6300000000000002,0.6642857142857143
21,0.7300000000000003,0.6300000000000003,0.6654545454545454
22,0.7300000000000003,0.6300000000000003,0.662608695652174
23,0.7300000000000003,0.6300000000000003,0.6625
24,0.7300000000000003,0.6300000000000003,0.6640000000000001
25,0.7300000000000003,0.6300000000000003,0.6653846153846158
26,0.7300000000000003,0.6300000000000004,0.6674074074074078
27,0.7300000000000003,0.6300000000000006,0.6675000000000004
28,0.7300000000000003,0.6300000000000006,0.667931034482759
29,0.7300000000000003,0.6300000000000007,0.6686666666666672
